fecha,producto,cantidad,precio_unitario,vendedor,sucursal,extra_columna
2025-08-28,Zapatilla,,17394.26,Luz,Bahía Blanca,irrelevante
2025-08-28,Camisa,,10435.67,Juan,Rosario,irrelevante
2025-08-28,Camisa,3.0,7907.98,Ana,Bahía Blanca,irrelevante
2025-08-28,Gorra,,15499.28,,Bahía Blanca,irrelevante
2025-08-28,Campera,,11701.8,Juan,La Plata,irrelevante
2025-08-28,Campera,1.0,13966.86,Luz,Rosario,irrelevante
2025-08-28,Medias,,16962.68,Luz,Bahía Blanca,irrelevante
2025-08-28,Medias,,5391.98,,Bahía Blanca,irrelevante
2025-08-28,Short,3.0,17255.37,Juan,Rosario,irrelevante
2025-08-28,Campera,3.0,11023.41,Carlos,CABA,irrelevante
2025-08-28,Camisa,2.0,11967.51,Carlos,Mar del Plata,irrelevante
2025-08-28,Medias,2.0,3717.51,Ana,La Plata,irrelevante
2025-08-28,Remera,2.0,19278.34,,Mar del Plata,irrelevante
2025-08-28,Campera,,6782.27,Mario,CABA,irrelevante
2025-08-28,Zapatilla,2.0,7164.26,Lucía,Rosario,irrelevante
2025-08-28,Campera,3.0,15926.56,Ana,Mar del Plata,irrelevante
2025-08-28,Campera,1.0,17848.32,Sofía,La Plata,irrelevante
2025-08-28,Remera,,6833.23,Ana,CABA,irrelevante
2025-08-28,Pantalón,2.0,8082.42,Juan,CABA,irrelevante
2025-08-28,Remera,1.0,3697.39,Ana,Bahía Blanca,irrelevante
2025-08-28,Gorra,,2368.79,Luz,Bahía Blanca,irrelevante
2025-08-28,Gorra,2.0,11729.06,Ana,Mar del Plata,irrelevante
2025-08-28,Jean,2.0,9740.11,Juan,Mar del Plata,irrelevante
2025-08-28,Jean,1.0,5447.69,Lucía,CABA,irrelevante
2025-08-28,Pantalón,3.0,19394.83,,CABA,irrelevante
2025-08-28,Gorra,3.0,10290.3,Mario,Bahía Blanca,irrelevante
2025-08-28,Zapatilla,2.0,18650.36,Carlos,Bahía Blanca,irrelevante
2025-08-28,Gorra,1.0,5523.55,Lucía,Mar del Plata,irrelevante
2025-08-28,Buzo,3.0,5570.91,Sofía,CABA,irrelevante
2025-08-28,Camisa,,19045.13,Juan,Rosario,irrelevante
2025-08-28,Campera,2.0,3713.4,Juan,CABA,irrelevante
2025-08-28,Medias,,11263.11,Mario,La Plata,irrelevante
2025-08-28,Medias,1.0,10277.83,Juan,La Plata,irrelevante
2025-08-28,Pantalón,2.0,9258.97,Mario,Mar del Plata,irrelevante
2025-08-28,Camisa,1.0,2929.08,Sofía,Rosario,irrelevante
2025-08-28,Campera,,9878.87,,Bahía Blanca,irrelevante
2025-08-28,Buzo,2.0,17241.38,Carlos,CABA,irrelevante
2025-08-28,Zapatilla,1.0,18715.17,Sofía,Rosario,irrelevante
2025-08-28,Short,2.0,9329.4,,La Plata,irrelevante
2025-08-28,Zapatilla,3.0,11674.87,Mario,Mar del Plata,irrelevante
2025-08-28,Pantalón,,16223.69,Carlos,Bahía Blanca,irrelevante
2025-08-28,Camisa,,19051.89,Ana,La Plata,irrelevante
2025-08-28,Zapatilla,2.0,17462.84,Sofía,La Plata,irrelevante
2025-08-28,Gorra,1.0,3581.07,Ana,Mar del Plata,irrelevante
2025-08-28,Pantalón,1.0,14942.29,Carlos,La Plata,irrelevante
2025-08-28,Camisa,3.0,6276.33,Luz,Bahía Blanca,irrelevante
2025-08-28,Medias,,4917.11,Lucía,CABA,irrelevante
2025-08-28,Remera,2.0,6683.61,Sofía,La Plata,irrelevante
2025-08-28,Zapatilla,3.0,19841.87,Sofía,Mar del Plata,irrelevante
2025-08-28,Buzo,,10090.02,Lucía,Bahía Blanca,irrelevante
2025-08-28,Zapatilla,3.0,13099.55,Ana,Bahía Blanca,irrelevante
2025-08-28,Camisa,,14336.83,Luz,Mar del Plata,irrelevante
2025-08-28,Medias,,3870.45,Sofía,Bahía Blanca,irrelevante
2025-08-28,Gorra,1.0,12647.41,Sofía,Mar del Plata,irrelevante
2025-08-28,Medias,2.0,17578.12,Luz,Mar del Plata,irrelevante
2025-08-28,Medias,,11372.45,Ana,Mar del Plata,irrelevante
2025-08-28,Buzo,3.0,15727.62,Luz,Rosario,irrelevante
2025-08-28,Remera,3.0,6681.74,Luz,Mar del Plata,irrelevante
2025-08-28,Pantalón,3.0,13278.0,Luz,Bahía Blanca,irrelevante
2025-08-28,Zapatilla,3.0,8486.02,Ana,Mar del Plata,irrelevante
2025-08-28,Short,,16675.43,Sofía,La Plata,irrelevante
2025-08-28,Camisa,1.0,3961.49,Ana,Rosario,irrelevante
2025-08-28,Remera,1.0,4157.62,Lucía,Rosario,irrelevante
2025-08-28,Medias,3.0,6274.26,Luz,La Plata,irrelevante
2025-08-28,Remera,1.0,9034.77,Mario,Rosario,irrelevante
2025-08-28,Medias,3.0,15625.1,,La Plata,irrelevante
2025-08-28,Pantalón,,17734.58,Lucía,Mar del Plata,irrelevante
2025-08-28,Pantalón,1.0,7394.98,Carlos,La Plata,irrelevante
2025-08-28,Buzo,3.0,4173.15,,CABA,irrelevante
2025-08-28,Gorra,,15500.19,Mario,Bahía Blanca,irrelevante
2025-08-28,Medias,2.0,11783.75,Carlos,Rosario,irrelevante
2025-08-28,Short,2.0,15760.55,Ana,Rosario,irrelevante
2025-08-28,Medias,,11303.26,Mario,Mar del Plata,irrelevante
2025-08-28,Jean,2.0,14899.54,Carlos,Bahía Blanca,irrelevante
2025-08-28,Short,,6619.1,Sofía,Bahía Blanca,irrelevante
2025-08-28,Short,2.0,5574.36,Lucía,Bahía Blanca,irrelevante
2025-08-28,Jean,,11944.41,,La Plata,irrelevante
2025-08-28,Pantalón,,9634.33,Ana,Mar del Plata,irrelevante
2025-08-28,Short,1.0,16024.87,Luz,Bahía Blanca,irrelevante
2025-08-28,Buzo,2.0,1527.26,Ana,Mar del Plata,irrelevante
2025-08-28,Zapatilla,2.0,5322.33,,La Plata,irrelevante
2025-08-28,Buzo,1.0,16593.02,Lucía,CABA,irrelevante
2025-08-28,Remera,1.0,7430.57,Sofía,Mar del Plata,irrelevante
2025-08-28,Pantalón,,11282.24,Luz,CABA,irrelevante
2025-08-28,Camisa,3.0,7642.61,Mario,Mar del Plata,irrelevante
2025-08-28,Remera,3.0,7937.98,Juan,Rosario,irrelevante
2025-08-28,Jean,3.0,17400.39,Sofía,La Plata,irrelevante
2025-08-28,Medias,1.0,11886.38,Carlos,La Plata,irrelevante
2025-08-28,Gorra,3.0,8162.76,Carlos,Mar del Plata,irrelevante
2025-08-28,Buzo,3.0,8662.26,Carlos,La Plata,irrelevante
2025-08-28,Buzo,,19789.73,Luz,Mar del Plata,irrelevante
2025-08-28,Campera,3.0,7374.09,Luz,Bahía Blanca,irrelevante
2025-08-28,Medias,1.0,8325.02,Ana,CABA,irrelevante
2025-08-28,Jean,1.0,4073.26,Juan,Rosario,irrelevante
2025-08-28,Zapatilla,3.0,10183.63,,CABA,irrelevante
2025-08-28,Pantalón,1.0,17244.04,Lucía,Mar del Plata,irrelevante
2025-08-28,Jean,,12226.74,Ana,Mar del Plata,irrelevante
2025-08-28,Camisa,3.0,8399.91,Ana,Rosario,irrelevante
2025-08-28,Gorra,,13204.23,Mario,Rosario,irrelevante
2025-08-28,Short,,12081.36,,Mar del Plata,irrelevante
2025-08-28,Short,3.0,5434.72,,CABA,irrelevante
2025-08-28,Medias,,12277.66,Lucía,La Plata,irrelevante
2025-08-28,Jean,,10266.6,Sofía,Rosario,irrelevante
2025-08-28,Medias,1.0,18133.51,Luz,Mar del Plata,irrelevante
2025-08-28,Gorra,3.0,11420.4,Luz,Mar del Plata,irrelevante
2025-08-28,Pantalón,,18738.19,Mario,Mar del Plata,irrelevante
2025-08-28,Medias,,6500.79,,La Plata,irrelevante
2025-08-28,Campera,2.0,4106.14,Lucía,Rosario,irrelevante
2025-08-28,Gorra,3.0,5174.07,Sofía,Rosario,irrelevante
2025-08-28,Gorra,,4061.28,Lucía,Mar del Plata,irrelevante
2025-08-28,Jean,1.0,3309.75,,Rosario,irrelevante
2025-08-28,Medias,2.0,4851.25,Ana,Rosario,irrelevante
2025-08-28,Zapatilla,3.0,2894.83,Carlos,CABA,irrelevante
2025-08-28,Pantalón,1.0,8866.24,Carlos,CABA,irrelevante
2025-08-28,Zapatilla,1.0,9290.52,Sofía,La Plata,irrelevante
2025-08-28,Zapatilla,1.0,2394.2,Mario,La Plata,irrelevante
2025-08-28,Zapatilla,2.0,8303.06,Sofía,CABA,irrelevante
2025-08-28,Short,2.0,16282.22,Ana,CABA,irrelevante
2025-08-28,Camisa,3.0,11370.0,Carlos,Mar del Plata,irrelevante
2025-08-28,Medias,2.0,17533.15,Mario,La Plata,irrelevante
2025-08-28,Zapatilla,,9353.47,Lucía,Bahía Blanca,irrelevante
2025-08-28,Campera,,3437.83,Ana,Bahía Blanca,irrelevante
2025-08-28,Zapatilla,2.0,6097.59,Mario,Rosario,irrelevante
2025-08-28,Jean,,6772.1,Luz,Rosario,irrelevante
2025-08-28,Medias,2.0,17646.11,Mario,CABA,irrelevante
2025-08-28,Jean,1.0,2148.26,Luz,CABA,irrelevante
2025-08-28,Camisa,2.0,8806.0,Carlos,Rosario,irrelevante
2025-08-28,Remera,2.0,18593.96,Luz,Mar del Plata,irrelevante
2025-08-28,Buzo,1.0,11130.57,Mario,La Plata,irrelevante
2025-08-28,Zapatilla,2.0,10518.98,Carlos,Rosario,irrelevante
2025-08-28,Remera,,14132.59,,La Plata,irrelevante
2025-08-28,Medias,2.0,2665.12,Lucía,CABA,irrelevante
2025-08-28,Jean,,8443.88,Sofía,CABA,irrelevante
2025-08-28,Jean,,6282.52,Juan,Rosario,irrelevante
2025-08-28,Pantalón,1.0,19229.68,Mario,CABA,irrelevante
2025-08-28,Gorra,,15575.58,,Bahía Blanca,irrelevante
2025-08-28,Buzo,,13594.85,Mario,Bahía Blanca,irrelevante
2025-08-28,Gorra,,16705.29,Mario,Bahía Blanca,irrelevante
2025-08-28,Short,1.0,4815.06,Lucía,CABA,irrelevante
2025-08-28,Buzo,3.0,3982.52,Sofía,Bahía Blanca,irrelevante
2025-08-28,Zapatilla,3.0,18827.61,Juan,Rosario,irrelevante
2025-08-28,Remera,2.0,11778.84,Ana,Bahía Blanca,irrelevante
2025-08-28,Gorra,1.0,19579.27,,Rosario,irrelevante
2025-08-28,Camisa,,15027.18,Sofía,CABA,irrelevante
2025-08-28,Buzo,,9141.29,Ana,La Plata,irrelevante
2025-08-28,Buzo,,1850.61,Sofía,Rosario,irrelevante
2025-08-28,Short,1.0,8471.49,,Rosario,irrelevante
2025-08-28,Medias,3.0,8695.42,Sofía,La Plata,irrelevante
2025-08-28,Camisa,1.0,14696.04,Carlos,Mar del Plata,irrelevante
2025-08-28,Gorra,3.0,1700.52,Carlos,La Plata,irrelevante
2025-08-28,Short,1.0,4290.52,Mario,Bahía Blanca,irrelevante
2025-08-28,Remera,1.0,11911.97,Ana,La Plata,irrelevante
2025-08-28,Jean,1.0,11154.24,Luz,Rosario,irrelevante
2025-08-28,Jean,1.0,2440.73,Sofía,La Plata,irrelevante
2025-08-28,Zapatilla,2.0,15669.8,Juan,Bahía Blanca,irrelevante
2025-08-28,Campera,1.0,4803.78,Carlos,Rosario,irrelevante
2025-08-28,Camisa,1.0,10482.02,Lucía,Rosario,irrelevante
2025-08-28,Camisa,3.0,5470.94,,Mar del Plata,irrelevante
2025-08-28,Short,3.0,3926.06,Carlos,La Plata,irrelevante
2025-08-28,Buzo,2.0,3188.02,Mario,Rosario,irrelevante
2025-08-28,Jean,,6174.92,Mario,CABA,irrelevante
2025-08-28,Camisa,1.0,11028.88,Carlos,CABA,irrelevante
2025-08-28,Campera,1.0,15300.74,Sofía,Rosario,irrelevante
2025-08-28,Short,3.0,18037.86,Carlos,CABA,irrelevante
2025-08-28,Campera,1.0,7457.94,,Mar del Plata,irrelevante
2025-08-28,Remera,1.0,17615.34,Lucía,Bahía Blanca,irrelevante
2025-08-28,Campera,2.0,8802.99,Juan,Mar del Plata,irrelevante
2025-08-28,Jean,,7720.19,Mario,La Plata,irrelevante
2025-08-28,Camisa,,2618.16,Sofía,CABA,irrelevante
2025-08-28,Jean,,6638.17,Carlos,Mar del Plata,irrelevante
2025-08-28,Camisa,3.0,10323.32,Carlos,CABA,irrelevante
2025-08-28,Short,1.0,8983.05,Mario,La Plata,irrelevante
2025-08-28,Short,2.0,16912.88,Ana,Bahía Blanca,irrelevante
2025-08-27,Short,3.0,4319.73,Lucía,CABA,irrelevante
2025-08-27,Buzo,3.0,14658.98,Carlos,Bahía Blanca,irrelevante
2025-08-27,Buzo,1.0,16655.58,Lucía,CABA,irrelevante
2025-08-27,Remera,2.0,9463.0,Ana,Mar del Plata,irrelevante
2025-08-27,Buzo,3.0,17858.01,Lucía,Bahía Blanca,irrelevante
2025-08-27,Campera,3.0,1915.75,Mario,Mar del Plata,irrelevante
2025-08-27,Jean,3.0,7754.14,Mario,Mar del Plata,irrelevante
2025-08-27,Campera,3.0,6287.59,Sofía,Bahía Blanca,irrelevante
2025-08-27,Remera,,18673.92,Carlos,Mar del Plata,irrelevante
2025-08-27,Campera,1.0,16083.32,Mario,Rosario,irrelevante
2025-08-27,Jean,,1759.57,Sofía,Bahía Blanca,irrelevante
2025-08-27,Buzo,3.0,2200.2,Carlos,Bahía Blanca,irrelevante
2025-08-27,Camisa,2.0,19298.83,Juan,CABA,irrelevante
2025-08-27,Campera,3.0,14478.04,Luz,Rosario,irrelevante
2025-08-27,Campera,,6814.92,Carlos,CABA,irrelevante
2025-08-27,Pantalón,,19299.18,Mario,La Plata,irrelevante
2025-08-27,Remera,1.0,11316.11,Luz,La Plata,irrelevante
2025-08-27,Short,3.0,17909.92,Luz,CABA,irrelevante
2025-08-27,Gorra,,19749.08,Sofía,La Plata,irrelevante
2025-08-27,Buzo,3.0,18182.63,,Bahía Blanca,irrelevante
2025-08-27,Medias,2.0,18523.57,Carlos,Bahía Blanca,irrelevante
2025-08-27,Campera,1.0,7062.84,Carlos,CABA,irrelevante
2025-08-27,Zapatilla,,10403.49,Carlos,CABA,irrelevante
2025-08-27,Campera,1.0,7186.57,Luz,La Plata,irrelevante
2025-08-27,Camisa,2.0,10922.05,Ana,CABA,irrelevante
2025-08-27,Medias,1.0,4351.67,Carlos,Rosario,irrelevante
2025-08-27,Medias,3.0,18667.53,Mario,La Plata,irrelevante
2025-08-27,Camisa,1.0,2114.63,Carlos,CABA,irrelevante
2025-08-27,Campera,3.0,15338.3,Ana,CABA,irrelevante
2025-08-27,Medias,1.0,5213.64,Luz,CABA,irrelevante
2025-08-27,Buzo,2.0,11740.99,Luz,Rosario,irrelevante
2025-08-27,Zapatilla,,10843.41,Mario,La Plata,irrelevante
2025-08-27,Pantalón,,8877.92,Luz,Rosario,irrelevante
2025-08-27,Campera,,14379.72,,La Plata,irrelevante
2025-08-27,Zapatilla,1.0,15743.9,Lucía,La Plata,irrelevante
2025-08-27,Pantalón,3.0,18697.3,Sofía,Mar del Plata,irrelevante
2025-08-27,Gorra,3.0,11528.94,Carlos,CABA,irrelevante
2025-08-27,Buzo,,18444.82,Mario,Rosario,irrelevante
2025-08-27,Remera,2.0,14332.2,Juan,La Plata,irrelevante
2025-08-27,Campera,3.0,18625.54,Luz,Mar del Plata,irrelevante
2025-08-27,Remera,2.0,9294.56,Mario,La Plata,irrelevante
2025-08-27,Pantalón,3.0,15085.67,Mario,CABA,irrelevante
2025-08-27,Zapatilla,1.0,11206.28,Carlos,La Plata,irrelevante
2025-08-27,Medias,1.0,13695.89,Lucía,Mar del Plata,irrelevante
2025-08-27,Remera,1.0,14714.04,Ana,Bahía Blanca,irrelevante
2025-08-27,Pantalón,3.0,2306.15,Juan,Mar del Plata,irrelevante
2025-08-27,Buzo,3.0,17927.97,Carlos,Bahía Blanca,irrelevante
2025-08-27,Campera,2.0,15942.37,Carlos,Mar del Plata,irrelevante
2025-08-27,Pantalón,1.0,6956.43,,Bahía Blanca,irrelevante
2025-08-27,Gorra,,17889.43,,Bahía Blanca,irrelevante
2025-08-27,Zapatilla,1.0,9715.05,Ana,CABA,irrelevante
2025-08-27,Short,1.0,13552.87,Carlos,Mar del Plata,irrelevante
2025-08-27,Campera,2.0,11559.27,Luz,La Plata,irrelevante
2025-08-27,Camisa,3.0,6013.95,Mario,Rosario,irrelevante
2025-08-27,Jean,1.0,10654.58,Mario,La Plata,irrelevante
2025-08-27,Buzo,,14522.32,Luz,Rosario,irrelevante
2025-08-27,Gorra,,7877.68,Carlos,Bahía Blanca,irrelevante
2025-08-27,Pantalón,1.0,16466.04,,Mar del Plata,irrelevante
2025-08-27,Remera,1.0,2710.0,Juan,Mar del Plata,irrelevante
2025-08-27,Zapatilla,2.0,1839.57,,La Plata,irrelevante
2025-08-27,Gorra,2.0,16923.29,Sofía,Mar del Plata,irrelevante
2025-08-27,Jean,3.0,19500.55,Ana,CABA,irrelevante
2025-08-27,Short,3.0,14858.65,Lucía,Rosario,irrelevante
2025-08-27,Jean,,13697.66,Mario,Rosario,irrelevante
2025-08-27,Jean,,5056.36,Mario,Bahía Blanca,irrelevante
2025-08-27,Gorra,2.0,14569.95,Carlos,CABA,irrelevante
2025-08-27,Gorra,,14111.05,Juan,Rosario,irrelevante
2025-08-27,Gorra,,10070.91,Luz,Rosario,irrelevante
2025-08-27,Camisa,3.0,3913.53,Luz,Rosario,irrelevante
2025-08-27,Remera,2.0,19502.26,Mario,Bahía Blanca,irrelevante
2025-08-27,Pantalón,1.0,14566.14,Carlos,La Plata,irrelevante
2025-08-27,Medias,2.0,8371.62,Luz,La Plata,irrelevante
2025-08-27,Camisa,2.0,16331.06,Ana,Bahía Blanca,irrelevante
2025-08-27,Medias,1.0,18089.52,Ana,Bahía Blanca,irrelevante
2025-08-27,Jean,2.0,7963.19,Carlos,La Plata,irrelevante
2025-08-27,Pantalón,,15430.15,Carlos,Bahía Blanca,irrelevante
2025-08-27,Jean,3.0,19637.19,Carlos,CABA,irrelevante
2025-08-27,Buzo,1.0,4433.3,Carlos,Mar del Plata,irrelevante
2025-08-27,Camisa,1.0,14854.06,Ana,Bahía Blanca,irrelevante
2025-08-27,Camisa,3.0,16255.84,Ana,Mar del Plata,irrelevante
2025-08-27,Campera,3.0,17388.67,Mario,La Plata,irrelevante
2025-08-27,Camisa,1.0,10512.99,Luz,La Plata,irrelevante
2025-08-27,Pantalón,1.0,3042.68,Carlos,Rosario,irrelevante
2025-08-27,Pantalón,,1532.69,Juan,Rosario,irrelevante
2025-08-27,Pantalón,3.0,11659.52,Ana,Rosario,irrelevante
2025-08-27,Gorra,,9998.24,Carlos,Rosario,irrelevante
2025-08-27,Pantalón,1.0,8438.75,Sofía,CABA,irrelevante
2025-08-27,Gorra,,15475.82,Mario,La Plata,irrelevante
2025-08-27,Gorra,1.0,5363.87,Mario,Rosario,irrelevante
2025-08-27,Camisa,,7472.12,Juan,La Plata,irrelevante
2025-08-27,Buzo,2.0,8696.46,Juan,Rosario,irrelevante
2025-08-27,Jean,3.0,7485.61,,La Plata,irrelevante
2025-08-27,Zapatilla,2.0,10043.97,Carlos,Bahía Blanca,irrelevante
2025-08-27,Buzo,2.0,15554.36,,Mar del Plata,irrelevante
2025-08-27,Remera,3.0,11670.46,Lucía,La Plata,irrelevante
2025-08-27,Buzo,,14437.2,Ana,Mar del Plata,irrelevante
2025-08-27,Zapatilla,1.0,13007.62,Lucía,Mar del Plata,irrelevante
2025-08-27,Remera,2.0,4795.19,Carlos,Bahía Blanca,irrelevante
2025-08-27,Jean,2.0,19592.24,Carlos,La Plata,irrelevante
2025-08-27,Campera,1.0,19769.39,Sofía,Rosario,irrelevante
2025-08-27,Campera,3.0,14132.95,Luz,CABA,irrelevante
2025-08-27,Medias,,4096.97,Ana,CABA,irrelevante
2025-08-27,Campera,1.0,17196.9,Ana,La Plata,irrelevante
2025-08-27,Campera,1.0,11044.98,Mario,CABA,irrelevante
2025-08-27,Jean,3.0,2807.29,,Bahía Blanca,irrelevante
2025-08-27,Remera,3.0,9069.37,Ana,Rosario,irrelevante
2025-08-27,Camisa,3.0,10608.73,Carlos,CABA,irrelevante
2025-08-27,Jean,2.0,5429.1,Sofía,Bahía Blanca,irrelevante
2025-08-27,Campera,2.0,7374.08,Ana,Bahía Blanca,irrelevante
2025-08-27,Short,1.0,9880.31,Carlos,La Plata,irrelevante
2025-08-27,Medias,1.0,18382.24,Juan,Rosario,irrelevante
2025-08-27,Pantalón,1.0,18501.99,Carlos,Mar del Plata,irrelevante
2025-08-27,Gorra,3.0,1570.19,,Mar del Plata,irrelevante
2025-08-27,Jean,,5761.1,Juan,La Plata,irrelevante
2025-08-27,Short,1.0,4227.24,Juan,Rosario,irrelevante
2025-08-27,Camisa,,19908.78,Ana,Mar del Plata,irrelevante
2025-08-27,Camisa,3.0,9338.78,Sofía,Mar del Plata,irrelevante
2025-08-27,Campera,1.0,18891.82,Lucía,Bahía Blanca,irrelevante
2025-08-27,Gorra,,1826.97,Lucía,CABA,irrelevante
2025-08-27,Jean,2.0,16001.27,Sofía,Mar del Plata,irrelevante
2025-08-27,Gorra,,10651.33,Juan,Rosario,irrelevante
2025-08-27,Pantalón,2.0,6188.75,Ana,Bahía Blanca,irrelevante
2025-08-27,Jean,,8472.18,Juan,CABA,irrelevante
2025-08-27,Jean,3.0,5513.23,Sofía,Mar del Plata,irrelevante
2025-08-27,Short,2.0,13723.15,Juan,CABA,irrelevante
2025-08-27,Gorra,2.0,18681.17,Luz,Mar del Plata,irrelevante
2025-08-27,Campera,3.0,12668.03,Sofía,Mar del Plata,irrelevante
2025-08-27,Medias,,7714.65,Mario,Rosario,irrelevante
2025-08-27,Pantalón,,2483.23,Sofía,Bahía Blanca,irrelevante
2025-08-27,Gorra,1.0,18583.12,Lucía,La Plata,irrelevante
2025-08-27,Remera,3.0,5671.88,Luz,Bahía Blanca,irrelevante
2025-08-27,Campera,2.0,18294.3,Mario,CABA,irrelevante
2025-08-27,Zapatilla,2.0,7259.17,Carlos,CABA,irrelevante
2025-08-27,Gorra,1.0,18743.04,,Bahía Blanca,irrelevante
2025-08-27,Short,3.0,1583.32,Lucía,Mar del Plata,irrelevante
2025-08-27,Buzo,2.0,4408.6,Mario,Mar del Plata,irrelevante
2025-08-27,Campera,2.0,6025.25,Carlos,Mar del Plata,irrelevante
2025-08-27,Camisa,1.0,6719.6,,CABA,irrelevante
2025-08-27,Jean,,15574.01,Ana,CABA,irrelevante
2025-08-27,Campera,1.0,16996.82,Lucía,La Plata,irrelevante
2025-08-27,Remera,2.0,9327.06,Ana,CABA,irrelevante
2025-08-27,Campera,,13188.49,Sofía,CABA,irrelevante
2025-08-27,Pantalón,3.0,12493.49,Lucía,Mar del Plata,irrelevante
2025-08-27,Campera,3.0,10669.89,,Bahía Blanca,irrelevante
2025-08-27,Gorra,1.0,19893.61,,CABA,irrelevante
2025-08-27,Buzo,2.0,10606.62,Juan,Bahía Blanca,irrelevante
2025-08-27,Jean,,7315.63,Ana,CABA,irrelevante
2025-08-27,Jean,,10649.3,Sofía,La Plata,irrelevante
2025-08-27,Medias,,18511.58,Ana,La Plata,irrelevante
2025-08-27,Jean,,14382.56,,Mar del Plata,irrelevante
2025-08-27,Campera,3.0,15787.74,Sofía,Rosario,irrelevante
2025-08-27,Campera,3.0,6589.7,Mario,CABA,irrelevante
2025-08-27,Pantalón,,12565.25,Lucía,Rosario,irrelevante
2025-08-27,Gorra,,12481.15,Carlos,Rosario,irrelevante
2025-08-27,Gorra,,3085.23,Lucía,Rosario,irrelevante
2025-08-27,Jean,3.0,14594.51,Carlos,Mar del Plata,irrelevante
2025-08-27,Pantalón,,6560.5,,CABA,irrelevante
2025-08-27,Buzo,2.0,15595.93,Juan,La Plata,irrelevante
2025-08-27,Medias,1.0,14009.98,Sofía,CABA,irrelevante
2025-08-27,Medias,2.0,12182.5,Juan,CABA,irrelevante
2025-08-27,Jean,1.0,8357.29,Mario,La Plata,irrelevante
2025-08-27,Camisa,3.0,14848.44,Juan,Mar del Plata,irrelevante
2025-08-27,Zapatilla,,12471.67,Juan,La Plata,irrelevante
2025-08-27,Remera,,15306.46,Lucía,CABA,irrelevante
2025-08-27,Zapatilla,,2777.06,Sofía,Bahía Blanca,irrelevante
2025-08-27,Buzo,3.0,19945.61,Juan,Mar del Plata,irrelevante
2025-08-27,Short,,6218.02,Juan,Rosario,irrelevante
2025-08-27,Gorra,,11130.03,Carlos,La Plata,irrelevante
2025-08-27,Jean,,15525.43,Lucía,La Plata,irrelevante
2025-08-27,Jean,3.0,12599.07,Carlos,La Plata,irrelevante
2025-08-27,Pantalón,3.0,15816.13,Juan,Mar del Plata,irrelevante
2025-08-27,Camisa,1.0,2878.24,Mario,Rosario,irrelevante
2025-08-27,Short,1.0,17129.75,Juan,CABA,irrelevante
2025-08-27,Camisa,2.0,5552.52,Luz,CABA,irrelevante
2025-08-27,Buzo,2.0,2713.25,Mario,Bahía Blanca,irrelevante
2025-08-27,Jean,1.0,5236.97,Carlos,Bahía Blanca,irrelevante
2025-08-27,Remera,,15206.26,Ana,CABA,irrelevante
2025-08-27,Remera,3.0,15498.98,Juan,Rosario,irrelevante
2025-08-27,Jean,3.0,18688.45,Carlos,Mar del Plata,irrelevante
2025-08-27,Remera,1.0,1598.39,Lucía,Rosario,irrelevante
2025-08-27,Medias,1.0,13734.73,Ana,Rosario,irrelevante
2025-08-27,Remera,,8838.17,Ana,La Plata,irrelevante
2025-08-27,Jean,,1730.73,,La Plata,irrelevante
2025-08-27,Campera,,17794.17,,CABA,irrelevante
2025-08-27,Gorra,3.0,11939.35,Lucía,Mar del Plata,irrelevante
2025-08-27,Pantalón,3.0,10294.01,Carlos,Rosario,irrelevante
