fecha,producto,cantidad,precio_unitario,vendedor,sucursal
2025-08-28,Zapatilla,3.0,8486.02,Ana,Mar Del Plata
2025-08-28,Camisa,1.0,3961.49,Ana,Rosario
2025-08-28,Remera,1.0,4157.62,Lucaa,Rosario
2025-08-28,Medias,3.0,6274.26,Luz,La Plata
2025-08-28,Remera,1.0,9034.77,Mario,Rosario
2025-08-28,Medias,3.0,15625.1,,La Plata
2025-08-28,Pantala3N,1.0,7394.98,Carlos,La Plata
2025-08-28,Buzo,3.0,4173.15,,Caba
2025-08-28,Medias,2.0,11783.75,Carlos,Rosario
2025-08-28,Short,2.0,15760.55,Ana,Rosario
2025-08-28,Jean,2.0,14899.54,Carlos,Bahaa Blanca
2025-08-28,Short,2.0,5574.36,Lucaa,Bahaa Blanca
2025-08-28,Short,1.0,16024.87,Luz,Bahaa Blanca
2025-08-28,Buzo,2.0,1527.26,Ana,Mar Del Plata
2025-08-28,Zapatilla,2.0,5322.33,,La Plata
2025-08-28,Buzo,1.0,16593.02,Lucaa,Caba
2025-08-28,Remera,1.0,7430.57,Sofaa,Mar Del Plata
2025-08-28,Camisa,3.0,7642.61,Mario,Mar Del Plata
2025-08-28,Remera,3.0,7937.98,Juan,Rosario
2025-08-28,Jean,3.0,17400.39,Sofaa,La Plata
2025-08-28,Medias,1.0,11886.38,Carlos,La Plata
2025-08-28,Gorra,3.0,8162.76,Carlos,Mar Del Plata
2025-08-28,Buzo,3.0,8662.26,Carlos,La Plata
2025-08-28,Campera,3.0,7374.09,Luz,Bahaa Blanca
2025-08-28,Medias,1.0,8325.02,Ana,Caba
2025-08-28,Jean,1.0,4073.26,Juan,Rosario
2025-08-28,Zapatilla,3.0,10183.63,,Caba
2025-08-28,Pantala3N,1.0,17244.04,Lucaa,Mar Del Plata
2025-08-28,Camisa,3.0,8399.91,Ana,Rosario
2025-08-28,Short,3.0,5434.72,,Caba
2025-08-28,Medias,1.0,18133.51,Luz,Mar Del Plata
2025-08-28,Gorra,3.0,11420.4,Luz,Mar Del Plata
2025-08-28,Campera,2.0,4106.14,Lucaa,Rosario
2025-08-28,Gorra,3.0,5174.07,Sofaa,Rosario
2025-08-28,Jean,1.0,3309.75,,Rosario
2025-08-28,Medias,2.0,4851.25,Ana,Rosario
2025-08-28,Zapatilla,3.0,2894.83,Carlos,Caba
2025-08-28,Pantala3N,1.0,8866.24,Carlos,Caba
2025-08-28,Zapatilla,1.0,9290.52,Sofaa,La Plata
2025-08-28,Zapatilla,1.0,2394.2,Mario,La Plata
2025-08-28,Zapatilla,2.0,8303.06,Sofaa,Caba
2025-08-28,Short,2.0,16282.22,Ana,Caba
2025-08-28,Camisa,3.0,11370.0,Carlos,Mar Del Plata
2025-08-28,Medias,2.0,17533.15,Mario,La Plata
2025-08-28,Zapatilla,2.0,6097.59,Mario,Rosario
2025-08-28,Medias,2.0,17646.11,Mario,Caba
2025-08-28,Jean,1.0,2148.26,Luz,Caba
2025-08-28,Camisa,2.0,8806.0,Carlos,Rosario
2025-08-28,Remera,2.0,18593.96,Luz,Mar Del Plata
2025-08-28,Buzo,1.0,11130.57,Mario,La Plata
2025-08-28,Zapatilla,2.0,10518.98,Carlos,Rosario
2025-08-28,Medias,2.0,2665.12,Lucaa,Caba
2025-08-28,Pantala3N,1.0,19229.68,Mario,Caba
2025-08-28,Short,1.0,4815.06,Lucaa,Caba
2025-08-28,Buzo,3.0,3982.52,Sofaa,Bahaa Blanca
2025-08-28,Zapatilla,3.0,18827.61,Juan,Rosario
2025-08-28,Remera,2.0,11778.84,Ana,Bahaa Blanca
2025-08-28,Gorra,1.0,19579.27,,Rosario
2025-08-28,Short,1.0,8471.49,,Rosario
2025-08-28,Medias,3.0,8695.42,Sofaa,La Plata
2025-08-28,Camisa,1.0,14696.04,Carlos,Mar Del Plata
2025-08-28,Gorra,3.0,1700.52,Carlos,La Plata
2025-08-28,Short,1.0,4290.52,Mario,Bahaa Blanca
2025-08-28,Remera,1.0,11911.97,Ana,La Plata
2025-08-28,Jean,1.0,11154.24,Luz,Rosario
2025-08-28,Jean,1.0,2440.73,Sofaa,La Plata
2025-08-28,Zapatilla,2.0,15669.8,Juan,Bahaa Blanca
2025-08-28,Campera,1.0,4803.78,Carlos,Rosario
2025-08-28,Camisa,1.0,10482.02,Lucaa,Rosario
2025-08-28,Camisa,3.0,5470.94,,Mar Del Plata
2025-08-28,Short,3.0,3926.06,Carlos,La Plata
2025-08-28,Buzo,2.0,3188.02,Mario,Rosario
2025-08-28,Camisa,1.0,11028.88,Carlos,Caba
2025-08-28,Campera,1.0,15300.74,Sofaa,Rosario
2025-08-28,Short,3.0,18037.86,Carlos,Caba
2025-08-28,Campera,1.0,7457.94,,Mar Del Plata
2025-08-28,Remera,1.0,17615.34,Lucaa,Bahaa Blanca
2025-08-28,Campera,2.0,8802.99,Juan,Mar Del Plata
2025-08-28,Camisa,3.0,10323.32,Carlos,Caba
2025-08-28,Short,1.0,8983.05,Mario,La Plata
2025-08-28,Short,2.0,16912.88,Ana,Bahaa Blanca
2025-08-27,Short,3.0,4319.73,Lucaa,Caba
2025-08-27,Buzo,3.0,14658.98,Carlos,Bahaa Blanca
2025-08-27,Buzo,1.0,16655.58,Lucaa,Caba
2025-08-27,Remera,2.0,9463.0,Ana,Mar Del Plata
2025-08-27,Buzo,3.0,17858.01,Lucaa,Bahaa Blanca
2025-08-27,Campera,3.0,1915.75,Mario,Mar Del Plata
2025-08-27,Jean,3.0,7754.14,Mario,Mar Del Plata
2025-08-27,Campera,3.0,6287.59,Sofaa,Bahaa Blanca
2025-08-27,Campera,1.0,16083.32,Mario,Rosario
2025-08-27,Buzo,3.0,2200.2,Carlos,Bahaa Blanca
2025-08-27,Camisa,2.0,19298.83,Juan,Caba
2025-08-27,Campera,3.0,14478.04,Luz,Rosario
2025-08-27,Remera,1.0,11316.11,Luz,La Plata
2025-08-27,Short,3.0,17909.92,Luz,Caba
2025-08-27,Buzo,3.0,18182.63,,Bahaa Blanca
2025-08-27,Medias,2.0,18523.57,Carlos,Bahaa Blanca
2025-08-27,Campera,1.0,7062.84,Carlos,Caba
2025-08-27,Campera,1.0,7186.57,Luz,La Plata
2025-08-27,Camisa,2.0,10922.05,Ana,Caba
2025-08-27,Medias,1.0,4351.67,Carlos,Rosario
2025-08-27,Medias,3.0,18667.53,Mario,La Plata
2025-08-27,Camisa,1.0,2114.63,Carlos,Caba
2025-08-27,Campera,3.0,15338.3,Ana,Caba
2025-08-27,Medias,1.0,5213.64,Luz,Caba
2025-08-27,Buzo,2.0,11740.99,Luz,Rosario
2025-08-27,Zapatilla,1.0,15743.9,Lucaa,La Plata
2025-08-27,Pantala3N,3.0,18697.3,Sofaa,Mar Del Plata
2025-08-27,Gorra,3.0,11528.94,Carlos,Caba
2025-08-27,Remera,2.0,14332.2,Juan,La Plata
2025-08-27,Campera,3.0,18625.54,Luz,Mar Del Plata
2025-08-27,Remera,2.0,9294.56,Mario,La Plata
2025-08-27,Pantala3N,3.0,15085.67,Mario,Caba
2025-08-27,Zapatilla,1.0,11206.28,Carlos,La Plata
2025-08-27,Medias,1.0,13695.89,Lucaa,Mar Del Plata
2025-08-27,Remera,1.0,14714.04,Ana,Bahaa Blanca
2025-08-27,Pantala3N,3.0,2306.15,Juan,Mar Del Plata
2025-08-27,Buzo,3.0,17927.97,Carlos,Bahaa Blanca
2025-08-27,Campera,2.0,15942.37,Carlos,Mar Del Plata
2025-08-27,Pantala3N,1.0,6956.43,,Bahaa Blanca
2025-08-27,Zapatilla,1.0,9715.05,Ana,Caba
2025-08-27,Short,1.0,13552.87,Carlos,Mar Del Plata
2025-08-27,Campera,2.0,11559.27,Luz,La Plata
2025-08-27,Camisa,3.0,6013.95,Mario,Rosario
2025-08-27,Jean,1.0,10654.58,Mario,La Plata
2025-08-27,Pantala3N,1.0,16466.04,,Mar Del Plata
2025-08-27,Remera,1.0,2710.0,Juan,Mar Del Plata
2025-08-27,Zapatilla,2.0,1839.57,,La Plata
2025-08-27,Gorra,2.0,16923.29,Sofaa,Mar Del Plata
2025-08-27,Jean,3.0,19500.55,Ana,Caba
2025-08-27,Short,3.0,14858.65,Lucaa,Rosario
2025-08-27,Gorra,2.0,14569.95,Carlos,Caba
2025-08-27,Camisa,3.0,3913.53,Luz,Rosario
2025-08-27,Remera,2.0,19502.26,Mario,Bahaa Blanca
2025-08-27,Pantala3N,1.0,14566.14,Carlos,La Plata
2025-08-27,Medias,2.0,8371.62,Luz,La Plata
2025-08-27,Camisa,2.0,16331.06,Ana,Bahaa Blanca
2025-08-27,Medias,1.0,18089.52,Ana,Bahaa Blanca
2025-08-27,Jean,2.0,7963.19,Carlos,La Plata
2025-08-27,Jean,3.0,19637.19,Carlos,Caba
2025-08-27,Buzo,1.0,4433.3,Carlos,Mar Del Plata
2025-08-27,Camisa,1.0,14854.06,Ana,Bahaa Blanca
2025-08-27,Camisa,3.0,16255.84,Ana,Mar Del Plata
2025-08-27,Campera,3.0,17388.67,Mario,La Plata
2025-08-27,Camisa,1.0,10512.99,Luz,La Plata
2025-08-27,Pantala3N,1.0,3042.68,Carlos,Rosario
2025-08-27,Pantala3N,3.0,11659.52,Ana,Rosario
2025-08-27,Pantala3N,1.0,8438.75,Sofaa,Caba
2025-08-27,Gorra,1.0,5363.87,Mario,Rosario
2025-08-27,Buzo,2.0,8696.46,Juan,Rosario
2025-08-27,Jean,3.0,7485.61,,La Plata
2025-08-27,Zapatilla,2.0,10043.97,Carlos,Bahaa Blanca
2025-08-27,Buzo,2.0,15554.36,,Mar Del Plata
2025-08-27,Remera,3.0,11670.46,Lucaa,La Plata
2025-08-27,Zapatilla,1.0,13007.62,Lucaa,Mar Del Plata
2025-08-27,Remera,2.0,4795.19,Carlos,Bahaa Blanca
2025-08-27,Jean,2.0,19592.24,Carlos,La Plata
2025-08-27,Campera,1.0,19769.39,Sofaa,Rosario
2025-08-27,Campera,3.0,14132.95,Luz,Caba
2025-08-27,Campera,1.0,17196.9,Ana,La Plata
2025-08-27,Campera,1.0,11044.98,Mario,Caba
2025-08-27,Jean,3.0,2807.29,,Bahaa Blanca
2025-08-27,Remera,3.0,9069.37,Ana,Rosario
2025-08-27,Camisa,3.0,10608.73,Carlos,Caba
2025-08-27,Jean,2.0,5429.1,Sofaa,Bahaa Blanca
2025-08-27,Campera,2.0,7374.08,Ana,Bahaa Blanca
2025-08-27,Short,1.0,9880.31,Carlos,La Plata
2025-08-27,Medias,1.0,18382.24,Juan,Rosario
2025-08-27,Pantala3N,1.0,18501.99,Carlos,Mar Del Plata
2025-08-27,Gorra,3.0,1570.19,,Mar Del Plata
2025-08-27,Short,1.0,4227.24,Juan,Rosario
2025-08-27,Camisa,3.0,9338.78,Sofaa,Mar Del Plata
2025-08-27,Campera,1.0,18891.82,Lucaa,Bahaa Blanca
2025-08-27,Jean,2.0,16001.27,Sofaa,Mar Del Plata
2025-08-27,Pantala3N,2.0,6188.75,Ana,Bahaa Blanca
2025-08-27,Jean,3.0,5513.23,Sofaa,Mar Del Plata
2025-08-27,Short,2.0,13723.15,Juan,Caba
2025-08-27,Gorra,2.0,18681.17,Luz,Mar Del Plata
2025-08-27,Campera,3.0,12668.03,Sofaa,Mar Del Plata
2025-08-27,Gorra,1.0,18583.12,Lucaa,La Plata
2025-08-27,Remera,3.0,5671.88,Luz,Bahaa Blanca
2025-08-27,Campera,2.0,18294.3,Mario,Caba
2025-08-27,Zapatilla,2.0,7259.17,Carlos,Caba
2025-08-27,Gorra,1.0,18743.04,,Bahaa Blanca
2025-08-27,Short,3.0,1583.32,Lucaa,Mar Del Plata
2025-08-27,Buzo,2.0,4408.6,Mario,Mar Del Plata
2025-08-27,Campera,2.0,6025.25,Carlos,Mar Del Plata
2025-08-27,Camisa,1.0,6719.6,,Caba
2025-08-27,Campera,1.0,16996.82,Lucaa,La Plata
2025-08-27,Remera,2.0,9327.06,Ana,Caba
2025-08-27,Pantala3N,3.0,12493.49,Lucaa,Mar Del Plata
2025-08-27,Campera,3.0,10669.89,,Bahaa Blanca
2025-08-27,Gorra,1.0,19893.61,,Caba
2025-08-27,Buzo,2.0,10606.62,Juan,Bahaa Blanca
2025-08-27,Campera,3.0,15787.74,Sofaa,Rosario
2025-08-27,Campera,3.0,6589.7,Mario,Caba
2025-08-27,Jean,3.0,14594.51,Carlos,Mar Del Plata
2025-08-27,Buzo,2.0,15595.93,Juan,La Plata
2025-08-27,Medias,1.0,14009.98,Sofaa,Caba
2025-08-27,Medias,2.0,12182.5,Juan,Caba
2025-08-27,Jean,1.0,8357.29,Mario,La Plata
2025-08-27,Camisa,3.0,14848.44,Juan,Mar Del Plata
2025-08-27,Buzo,3.0,19945.61,Juan,Mar Del Plata
2025-08-27,Jean,3.0,12599.07,Carlos,La Plata
2025-08-27,Pantala3N,3.0,15816.13,Juan,Mar Del Plata
2025-08-27,Camisa,1.0,2878.24,Mario,Rosario
2025-08-27,Short,1.0,17129.75,Juan,Caba
2025-08-27,Camisa,2.0,5552.52,Luz,Caba
2025-08-27,Buzo,2.0,2713.25,Mario,Bahaa Blanca
2025-08-27,Jean,1.0,5236.97,Carlos,Bahaa Blanca
2025-08-27,Remera,3.0,15498.98,Juan,Rosario
2025-08-27,Jean,3.0,18688.45,Carlos,Mar Del Plata
2025-08-27,Remera,1.0,1598.39,Lucaa,Rosario
2025-08-27,Medias,1.0,13734.73,Ana,Rosario
2025-08-27,Gorra,3.0,11939.35,Lucaa,Mar Del Plata
2025-08-27,Pantala3N,3.0,10294.01,Carlos,Rosario
2025-08-27,Medias,1.0,9195.07,Lucaa,La Plata
2025-08-27,Camisa,3.0,3381.21,,Caba
2025-08-27,Gorra,2.0,5142.05,,Caba
2025-08-27,Campera,2.0,10519.24,Ana,Caba
2025-08-27,Pantala3N,2.0,16294.83,Juan,Bahaa Blanca
2025-08-27,Short,2.0,6093.85,Mario,Mar Del Plata
2025-08-27,Medias,1.0,13521.85,Juan,Bahaa Blanca
2025-08-27,Jean,2.0,12299.63,Carlos,Mar Del Plata
2025-08-27,Pantala3N,2.0,6397.38,Juan,Bahaa Blanca
2025-08-27,Remera,1.0,11400.49,Juan,Bahaa Blanca
2025-08-27,Zapatilla,1.0,8834.75,Luz,La Plata
2025-08-27,Camisa,3.0,18775.42,Carlos,Bahaa Blanca
2025-08-26,Buzo,3.0,11485.11,Ana,Rosario
2025-08-26,Pantala3N,3.0,18686.03,,Caba
2025-08-26,Campera,3.0,7415.52,,La Plata
2025-08-26,Jean,1.0,17224.32,Ana,La Plata
2025-08-26,Jean,1.0,11847.37,,La Plata
2025-08-26,Medias,2.0,12461.49,Mario,La Plata
2025-08-26,Zapatilla,3.0,7664.09,Juan,Mar Del Plata
2025-08-26,Campera,3.0,7001.19,Sofaa,Rosario
2025-08-26,Buzo,1.0,9473.39,Mario,Caba
2025-08-26,Campera,1.0,7001.58,Carlos,La Plata
2025-08-26,Gorra,1.0,1639.92,Sofaa,Bahaa Blanca
2025-08-26,Remera,1.0,7265.9,Ana,La Plata
2025-08-26,Buzo,1.0,15451.37,Ana,Bahaa Blanca
2025-08-26,Pantala3N,1.0,10942.44,Luz,Caba
2025-08-26,Jean,1.0,12812.55,Mario,Bahaa Blanca
2025-08-26,Jean,3.0,9370.0,Luz,Mar Del Plata
2025-08-26,Short,1.0,10345.54,,Mar Del Plata
2025-08-26,Gorra,1.0,10766.81,Carlos,La Plata
2025-08-26,Zapatilla,1.0,7277.62,Luz,Bahaa Blanca
2025-08-26,Jean,3.0,16950.99,Carlos,Caba
2025-08-26,Short,1.0,17084.71,Carlos,Bahaa Blanca
2025-08-26,Short,3.0,10290.23,Juan,Mar Del Plata
2025-08-26,Buzo,3.0,13576.97,Mario,Rosario
2025-08-26,Gorra,3.0,15052.65,Carlos,Bahaa Blanca
2025-08-26,Zapatilla,1.0,4772.39,,Bahaa Blanca
2025-08-26,Jean,3.0,7982.35,Carlos,Mar Del Plata
2025-08-26,Buzo,3.0,8944.71,Luz,La Plata
2025-08-26,Pantala3N,2.0,8036.76,Luz,Mar Del Plata
2025-08-26,Jean,3.0,3995.42,Mario,Rosario
2025-08-26,Jean,3.0,16610.92,Juan,Caba
2025-08-26,Remera,1.0,12177.94,Mario,Caba
2025-08-26,Pantala3N,1.0,18784.58,,Mar Del Plata
2025-08-26,Zapatilla,3.0,6310.74,Carlos,Bahaa Blanca
2025-08-26,Pantala3N,2.0,9443.31,Mario,Rosario
2025-08-26,Camisa,3.0,18504.52,Carlos,La Plata
2025-08-26,Gorra,3.0,4019.45,Sofaa,Bahaa Blanca
2025-08-26,Buzo,3.0,13514.18,Sofaa,Caba
2025-08-26,Pantala3N,3.0,7281.23,Luz,Mar Del Plata
2025-08-26,Jean,3.0,12612.65,Lucaa,La Plata
2025-08-26,Pantala3N,2.0,5611.38,Luz,Caba
2025-08-26,Gorra,1.0,9154.75,Juan,Bahaa Blanca
2025-08-26,Zapatilla,2.0,2784.85,Lucaa,La Plata
2025-08-26,Jean,3.0,5729.59,Juan,Mar Del Plata
2025-08-26,Camisa,2.0,19246.21,Mario,Caba
2025-08-26,Zapatilla,1.0,15709.39,Ana,Mar Del Plata
2025-08-26,Camisa,1.0,19486.31,Lucaa,Caba
2025-08-26,Pantala3N,1.0,12694.76,Carlos,Rosario
2025-08-26,Jean,3.0,16980.59,Luz,Rosario
2025-08-26,Medias,1.0,10259.25,Luz,Caba
2025-08-26,Short,1.0,9515.68,Ana,Rosario
2025-08-26,Remera,3.0,4970.51,Ana,La Plata
2025-08-26,Campera,2.0,8915.39,Juan,Mar Del Plata
2025-08-26,Pantala3N,2.0,7572.78,Juan,Bahaa Blanca
2025-08-26,Short,2.0,7013.85,Lucaa,La Plata
2025-08-26,Medias,2.0,16135.55,,La Plata
2025-08-26,Camisa,2.0,8497.45,Carlos,Caba
2025-08-26,Camisa,2.0,9291.45,,Caba
2025-08-26,Remera,2.0,15918.54,Mario,Rosario
2025-08-26,Camisa,1.0,11474.7,Sofaa,Rosario
2025-08-26,Medias,3.0,7320.29,Mario,Caba
2025-08-26,Remera,2.0,14801.63,,La Plata
2025-08-26,Camisa,2.0,16463.6,Sofaa,Rosario
2025-08-26,Camisa,3.0,13220.12,Mario,La Plata
2025-08-26,Jean,1.0,16790.67,Carlos,Bahaa Blanca
2025-08-26,Buzo,2.0,12099.87,Mario,La Plata
2025-08-26,Remera,1.0,17293.47,Luz,Rosario
2025-08-26,Camisa,1.0,14106.0,Carlos,Caba
2025-08-26,Camisa,1.0,12922.32,Mario,Caba
2025-08-26,Pantala3N,1.0,10942.59,,Caba
2025-08-26,Camisa,1.0,2136.58,Sofaa,Rosario
2025-08-26,Buzo,3.0,1718.3,Carlos,La Plata
2025-08-26,Buzo,1.0,5720.61,Lucaa,Mar Del Plata
2025-08-26,Remera,1.0,18833.87,,Caba
2025-08-26,Pantala3N,2.0,3596.1,Sofaa,Bahaa Blanca
2025-08-26,Remera,2.0,11358.42,Lucaa,Rosario
2025-08-26,Pantala3N,2.0,18181.66,Sofaa,La Plata
2025-08-26,Buzo,1.0,7655.88,Carlos,Mar Del Plata
2025-08-26,Camisa,2.0,9758.93,Lucaa,La Plata
2025-08-26,Buzo,2.0,12559.05,Luz,Rosario
2025-08-26,Jean,2.0,9752.6,Mario,Rosario
2025-08-26,Buzo,3.0,2315.66,Ana,Caba
2025-08-26,Zapatilla,2.0,6049.2,Juan,La Plata
2025-08-26,Remera,2.0,16702.89,Mario,Mar Del Plata
2025-08-26,Pantala3N,2.0,15482.76,,Rosario
2025-08-26,Buzo,3.0,3136.8,Juan,Mar Del Plata
2025-08-26,Jean,3.0,9494.94,Sofaa,Rosario
2025-08-26,Buzo,2.0,12718.11,Mario,La Plata
2025-08-26,Zapatilla,3.0,13158.53,Sofaa,La Plata
2025-08-26,Camisa,1.0,6348.11,,Mar Del Plata
2025-08-26,Buzo,3.0,19738.05,Ana,Rosario
2025-08-26,Jean,1.0,4057.15,Luz,Mar Del Plata
2025-08-26,Gorra,2.0,16925.03,Mario,Rosario
2025-08-26,Campera,1.0,16722.59,Mario,Caba
2025-08-26,Buzo,2.0,16156.64,Luz,La Plata
2025-08-26,Medias,1.0,13180.78,Lucaa,Bahaa Blanca
2025-08-26,Zapatilla,1.0,13169.76,Ana,Mar Del Plata
2025-08-26,Remera,1.0,19205.7,Ana,Mar Del Plata
2025-08-26,Campera,1.0,18974.57,Sofaa,Rosario
2025-08-26,Medias,1.0,4396.73,Carlos,La Plata
2025-08-26,Gorra,2.0,14647.77,Sofaa,Mar Del Plata
2025-08-26,Zapatilla,3.0,9069.22,Carlos,Caba
2025-08-26,Medias,2.0,14561.86,,La Plata
2025-08-26,Zapatilla,2.0,4543.16,,Caba
2025-08-26,Pantala3N,2.0,10507.04,Mario,Rosario
2025-08-26,Jean,2.0,19191.64,Lucaa,Rosario
2025-08-26,Campera,2.0,7259.18,Lucaa,Caba
2025-08-26,Zapatilla,2.0,10601.42,Juan,Caba
2025-08-26,Buzo,2.0,11532.86,Luz,Bahaa Blanca
2025-08-26,Medias,2.0,16318.75,Sofaa,Bahaa Blanca
2025-08-26,Buzo,1.0,1777.27,Luz,Caba
2025-08-26,Zapatilla,1.0,9632.91,Juan,Caba
2025-08-26,Campera,2.0,14104.17,Sofaa,Bahaa Blanca
2025-08-26,Campera,3.0,7827.8,Lucaa,La Plata
2025-08-26,Pantala3N,1.0,17295.86,Carlos,Caba
2025-08-26,Camisa,3.0,3331.86,Luz,Bahaa Blanca
2025-08-26,Pantala3N,2.0,10142.81,Carlos,La Plata
2025-08-26,Buzo,3.0,15136.0,,Caba
2025-08-26,Remera,2.0,15293.93,Ana,Bahaa Blanca
2025-08-26,Zapatilla,1.0,13067.17,Juan,Rosario
2025-08-26,Buzo,3.0,15674.83,Lucaa,Bahaa Blanca
2025-08-26,Pantala3N,3.0,11138.6,Mario,Rosario
2025-08-26,Camisa,1.0,13245.76,Mario,Bahaa Blanca
2025-08-26,Medias,3.0,16220.4,Ana,Caba
2025-08-26,Jean,3.0,11435.15,Sofaa,Rosario
2025-08-26,Campera,1.0,18717.04,Luz,Rosario
2025-08-26,Zapatilla,2.0,11853.3,Luz,La Plata
2025-08-26,Gorra,2.0,10744.83,Mario,Mar Del Plata
2025-08-26,Medias,3.0,19956.61,Luz,Bahaa Blanca
2025-08-26,Pantala3N,1.0,15004.92,Juan,Bahaa Blanca
2025-08-26,Buzo,1.0,10585.36,Ana,Caba
2025-08-26,Remera,1.0,7202.11,Ana,La Plata
2025-08-26,Zapatilla,1.0,16828.12,Juan,Rosario
2025-08-26,Zapatilla,1.0,9764.37,Ana,Mar Del Plata
2025-08-26,Campera,1.0,2060.07,Ana,Rosario
2025-08-26,Camisa,1.0,15974.71,Ana,Rosario
2025-08-26,Jean,1.0,13101.96,Sofaa,Mar Del Plata
2025-08-26,Medias,2.0,15116.22,Carlos,Mar Del Plata
2025-08-26,Short,2.0,13639.61,Carlos,Mar Del Plata
2025-08-26,Jean,3.0,18387.82,Mario,Mar Del Plata
2025-08-26,Pantala3N,1.0,18069.38,Luz,Caba
2025-08-26,Jean,3.0,5742.61,Juan,La Plata
2025-08-26,Camisa,1.0,9390.23,Mario,Bahaa Blanca
2025-08-26,Short,1.0,6209.42,Luz,Rosario
2025-08-26,Gorra,2.0,13440.63,,La Plata
2025-08-26,Campera,3.0,11882.47,Sofaa,Rosario
2025-08-26,Jean,1.0,3173.51,,Rosario
2025-08-26,Campera,2.0,17727.62,Mario,Caba
2025-08-26,Medias,3.0,15256.53,Luz,Bahaa Blanca
2025-08-26,Zapatilla,2.0,2493.91,Carlos,Rosario
